"X" "Y"
"311" 695945.02 5078350.19
"312" 695946.19 5078346.24
"313" 695947.54 5078343.75
"314" 695948.86 5078340.96
"315" 695949.76 5078336.13
"316" 695950.91 5078333.84
"317" 695950.1 5078334.88
"318" 695950.04 5078335.13
"319" 695949.92 5078337.25
"320" 695949.65 5078338.19
"321" 695948.12 5078341.87
"322" 695948.24 5078342.92
"323" 695947.7 5078344.7
"324" 695947.95 5078345.31
"325" 695946.57 5078347.15
"326" 695946.17 5078348.58
"327" 695945.3 5078351.45
"328" 695945.13 5078352
"329" 695944.97 5078354.07
"330" 695944.65 5078355.21
"331" 695943.98 5078357.48
"332" 695943.71 5078358.45
"333" 695943.89 5078359.35
"334" 695943.93 5078360.75
"335" 695944.93 5078357.33
"336" 695944.34 5078356.25
"337" 695945.6 5078353.35
"338" 695946.11 5078350.17
"339" 695946.21 5078349.92
"340" 695947.68 5078346.23
"341" 695948.34 5078343.96
"342" 695949.91 5078340.57
"343" 695949.78 5078339.17
"344" 695950.65 5078336.03
"345" 695951.52 5078333.13
"346" 695951.76 5078332.29
"347" 695951.2 5078334.16
"348" 695950.89 5078337.1
"349" 695950.6 5078338.11
"350" 695949.66 5078341.41
"351" 695948.12 5078344.71
"352" 695947.4 5078347.25
"353" 695947.48 5078348.71
"354" 695946.22 5078351.34
"355" 695946.29 5078352.67
"356" 695945.35 5078354.21
"357" 695945.95 5078355.75
"358" 695944.14 5078358.45
"359" 695943.84 5078361.05
"360" 695944.9 5078360.05
"361" 695944.94 5078359.17
"362" 695945.76 5078357.13
"363" 695945.83 5078356.85
"364" 695946.02 5078353.62
"365" 695947.04 5078350.19
"366" 695947.11 5078349.92
"367" 695948.15 5078346.4
"368" 695948.49 5078345.17
"369" 695949.03 5078343.42
"370" 695949.16 5078343
"371" 695950.71 5078340.5
"372" 695950.34 5078339.03
"373" 695951.05 5078336.58
"374" 695951.38 5078335.38
"375" 695952.42 5078333.69
"376" 695952.69 5078332.77
"377" 695952.33 5078334.94
"378" 695951.35 5078337.4
"379" 695951.4 5078338.16
"380" 695950.24 5078341.25
"381" 695949.4 5078344.83
"382" 695949.22 5078345.41
"383" 695948.26 5078347.92
"384" 695948.96 5078348.71
"385" 695947.34 5078351.06
"386" 695947.21 5078352.25
"387" 695946.48 5078354.67
"388" 695946.98 5078355.41
"389" 695945.95 5078358.87
"390" 695944.37 5078361.17
"391" 695945.87 5078359.16
"392" 695946.92 5078356.87
"393" 695948.07 5078349.38
"394" 695950.09 5078342.57
"395" 695951.57 5078339.91
"396" 695952 5078336.13
"397" 695952.26 5078335.24
"398" 695953.64 5078332.75
"399" 695953.57 5078333.05
"400" 695953.21 5078334.27
"401" 695952.21 5078337.74
"402" 695952.76 5078338.83
"403" 695951.32 5078340.74
"404" 695951.86 5078341.8
"405" 695950.43 5078343.79
"406" 695950.64 5078344.44
"407" 695950.66 5078345.88
"408" 695949.65 5078346.38
"409" 695949.39 5078347.28
